Authors,Title,Year,Source title,DOI,Link,Open Access
"Luthra M., Todd P.M.","Social search and resource clustering as emergent stable states",2023,"Artificial Life","10.1162/artl_a_00391","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147317766&doi=10.1162%2fartl_a_00391&partnerID=40&md5=21b4c96be78b36b3343eb82ba1bfb39f",""
"Parthasarathy B., Dumke M., Herberstein M.E., Schneider J.M.","Male cooperation improves their own and kin-group productivity in a group-foraging spider",2023,"Scientific Reports","10.1038/s41598-022-27282-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145835763&doi=10.1038%2fs41598-022-27282-9&partnerID=40&md5=545c030d07331882495bb3f4627c52a8","All Open Access, Gold, Green"
"Xue Z., Yu J., Zhao A., Zong Y., Yang S., Wang M.","Optimal chiller loading by improved sparrow search algorithm for saving energy consumption",2023,"Journal of Building Engineering","10.1016/j.jobe.2023.105980","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147017977&doi=10.1016%2fj.jobe.2023.105980&partnerID=40&md5=76c66895bd64ca9588842c35eb8a67f4",""
"Chen Y., Li Z.","Asymptotic behavior in a forager-exploiter model with nonlinear resource consumption with/without general logistic sources",2023,"Journal of Mathematical Analysis and Applications","10.1016/j.jmaa.2022.126793","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140061707&doi=10.1016%2fj.jmaa.2022.126793&partnerID=40&md5=80a4164557958cbb5ace3c3336edc58c",""
"Xu H., Wang L.","Global existence and asymptotic stability of solutions to a forager–exploiter model with logistic source",2023,"Zeitschrift fur Angewandte Mathematik und Physik","10.1007/s00033-022-01900-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143135270&doi=10.1007%2fs00033-022-01900-y&partnerID=40&md5=904c847efc8da669d91a803d72e18a9c",""
"Nöbel S., Jacquet A., Isabel G., Pocheville A., Seabright P., Danchin E.","Conformity in mate choice, the overlooked social component of animal and human culture",2023,"Biological Reviews","10.1111/brv.12899","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138985403&doi=10.1111%2fbrv.12899&partnerID=40&md5=298ef5b3bf05f029d3c6afa5a6223229",""
"Chen Q., Chen G., Shao M., Wu Y., Wang J., Wan D., Yin J.","Social experience promotes the exploratory behaviour in Java Sparrows",2023,"Avian Research","10.1016/j.avrs.2023.100087","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148765727&doi=10.1016%2fj.avrs.2023.100087&partnerID=40&md5=a47b98a390d9967f49eeeb32476263d9","All Open Access, Gold"
"Ioannou C.C., Laskowski K.L.","Conformity and differentiation are two sides of the same coin",2023,"Trends in Ecology and Evolution","10.1016/j.tree.2023.01.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148716625&doi=10.1016%2fj.tree.2023.01.014&partnerID=40&md5=da4e261e47ff1a2270923836b22d527b","All Open Access, Hybrid Gold"
"Tao Y., Winkler M.","Small-signal solutions to a nonlocal cross-diffusion model for interaction of scroungers with rapidly diffusing foragers",2023,"Mathematical Models and Methods in Applied Sciences","10.1142/S0218202523500045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147108501&doi=10.1142%2fS0218202523500045&partnerID=40&md5=414f695bc067c95daf9f5aa5cc2a50c3",""
"Bagwell J.N.","Debunking interface theory: why Hoffman’s skepticism (really) is self-defeating",2023,"Synthese","10.1007/s11229-022-04021-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146822406&doi=10.1007%2fs11229-022-04021-1&partnerID=40&md5=8d63ba36781149368478a87b03f668cf",""
