Link,Year,Author,Journal,Title,Strategies,Frequency dependence,Payoffs,Penalties,Availability,Resources,Risks,Conditions,Access,Focus,Outcome
sci-hub.st/http://dx.doi.org/10.1016/S0003-3472(81)80117-0,1981,"Barnard, CJ; Sibly, RM",Animal Behaviour,Producers And Scroungers - A General-Model And Its Application To Captive Flocks Of House Sparrows,"Producers, scroungers","Frequency of strategies, group size","Amount of any particular resource, eg. mealworm capture rate","Competition, intereference at high density",,"Nests, food, mates. For the house sparrows, mealworms",,,,,Model predicts that groups will reach an evolutionary equilibrium when the payoff to producers and scroungers is equal. Group stability will depend on the ratio of producers to scroungers.
sci-hub.st/http://dx.doi.org/10.1086/285197,1991,"Vickery, WL; Giraldea, LA; Templeton, JJ; Kramer, DL; Chapman, CA",American Naturalist,"Producers, Scroungers, And Group Foraging","Producers, scroungers, opportunists","Effective group size, patch discovery rate decreased with less producers, scrounger's portion decreases with more scroungers","Scarce patches of divisible food items, finder's share, long search time relative to patch exploitation time",,Scarce patches of divisible food items,,,"Reduction of sensory contact between individuals, eg. wind or fog, likely reduces group size and favors increased proportion of producers","Assumed that producers have a finder's share before scroungers and opportunities arrive at the patch. The remainder is divided equally between the producer and all scroungers (including opportunists), where the total consumed by scroungers is the scrounger's share.",Reconcile information-sharing and producer-scrounger models of group foraging,"These three strategies can only coexist when opportunist's loss in searching ability is exactly equal to its gain in scrounging ability. All pairs of strategies can coexist, depending on relative producing ability and relative scrounging ability of opportunists and the finder's share."
https://sci-hub.st/10.1016/S0022-5193(05)80156-0,1991,Caraco T; Giraldeau L-A,Journal Of Theoretical Biology,Social Foraging Producing And Scrounging In A Stochastic Environment,,Producer-priority model assumes producer's intake does not depend on the number of scroungers whereas scramble-competition model assumes producer's intake decreases with the number of scroungers,,,Scramble competition and producer priority modells,,,,Random patch size and random allocation of food items to each forager at a patch.,,Producer-priority models show scrounging reduces producer's food intake but does not depend on the number of scroungers in the group. Scramble competition models show producer's food intake decreases with the number of scroungers
sci-hub.st/http://dx.doi.org/10.1006/anbe.1996.0014,1996,"Ranta, E; Peuhkuri, N; Laurila, A; Rita, H; Metcalfe, NB",Animal Behaviour,"Producers, Scroungers And Foraging Group Structure","Producers, scroungers",,"Finder's share, intake rate and competitive ability",,,,,,,Model which a;llows individuals to differ in food-finding ability and competitive ability once food is found,Scroungers tolerated given predator vigilance while scrounging and dilution effect
sci-hub.st/http://dx.doi.org/10.1007/s002650050313,1997,"Rita, H; Ranta, E; Peuhkuri, N",Behavioral Ecology And Sociobiology,"Group Foraging, Patch Exploitation Time And The Finder'S Advantage",,,,,,,,,,,A producer should leave a patch earlier than scroungers if the producer has a finder's advantage. More producers in a group results in finding more patches
sci-hub.st/http://dx.doi.org/10.2307/5920,1997,"Beauchamp, G; Belisle, M; Giraldeau, LA",Journal Of Animal Ecology,Influence Of Conspecific Attraction On The Spatial Distribution Of Learning Foragers In A Patchy Habitat,"Producers, scroungers. Producers show no conspecific attraction while scroungers would show conspecific attraction",Scrounger payoffs expected to decrease with increasing scrounger frequency in population,"For the ideal free distribution model, payoffs are equal for all individuals given the distribution of group sizes according to patch quality",,,"Two types of habitats: patches with large number of food items that are not depletable, patches that are quickly depleted",,,Travel costs induce foragers to become more sedentary,"Compare the ideal free distribution model, a model with travel costs and a model with travel costs and conspecific attraction",Interference reduced the average intake rate and increased variation in intake rate across foragers
sci-hub.st/http://dx.doi.org/10.1006/anbe.1997.0649,1998,"Ranta, E; Peuhkuri, N; Hirvonen, H; Barnard, CJ",Animal Behaviour,"Producers, Scroungers And The Price Of A Free Meal","Producers, scroungers",,,,,,Predation,,Finder's share,Differences between producers and scroungers in vigilance level and vulnerability to predators. ESS group combinations of producer and scrounger strategies,"Scroungers contribute to group vigilance, and therefore pay for their ""free meal"""
sci-hub.st/http://dx.doi.org/10.1007/s002650050433,1998,"Barta, Z; Giraldeau, LA",Behavioral Ecology And Sociobiology,The Effect Of Dominance Hierarchy On The Use Of Alternative Foraging Tactics: A Phenotype-Limited Producing-Scrounging Game,"Producers, scroungers",,Intake rate,,,,,,"Priority access to resources depending on dominance rank. After finder's share, remainder divided among scroungers.",How differences in dominance influence individual's decision to play producer or scrounger,"As finder's share increases, proportion of scroungers decreases. At similar dominance ranks, individuals should all equally play scrounger. At asymmetrical dominance ranks, superior individuals should use mostly scrounging while inferior individuals should use mostly producing. Only when competitive differences are very large, eg. a dominant individual can monopolize the whole or most of a patch, should individuals specialize exclusively in one role (dominants - scrounge, subordinates - produce)"
sci-hub.st/http://dx.doi.org/10.2307/3546372,1998,"Rita, H; Ranta, E",Oikos,"Group Foraging, Gain And The Finder'S Advantage","Producers, scroungers",,"The larger the finder's share, the more the payoff resembles the payoff for a solitary finder",,,,,,,Accumulation of gain from producer's share,"Within and between patch components of gain variance are larger for producers in groups with scroungers (assuming scroungers are less skilled foragers). If foragers are risk-averse, favoring to minimize variance, we should expect patch-finding skill assorted foraging groups"
sci-hub.st/http://dx.doi.org/10.1086/303342,2000,"Barta, Z; Giraldeau, LA",American Naturalist,Daily Patterns Of Optimal Producer And Scrounger Use Under Predation Hazard: A State-Dependent Dynamic Game Analysis,"Producers, scroungers",,"When scrounging is rare, it is assumed to do better than the producer alternative because it can take advantage of the many exploitable food patches discovered by the producers. When scrounging is common, the number of individuals competing as scroungers increases and the payoffs for scroungers declines. Survival probability is the currency used here instead of net food intake to determine how the use of either strategy impacts individuals' survival probability",The nighttime non foraging period reduces animal's energy reserves that are replenished during daylight. Foraging increases risk of predation while resting decreases risk of predation while consuming energy,,,"Predation / hazard risk. Scroungers surveying for producers finding patches also provides a lower predation hazard as a by-product and to include this, the authors set the predation hazard for scroungers to half that of the  producers.",,All scroungers get equal access to each producer's patch minus the producer's share. Patch-finding rate and amount of food in a patch were constant. Varying patchiness did not change the average daily stable proportion of scrounging but increasing patchiness decreased the probability of survival in most cases.,"State-dependent dynamic producer-scrounger game that predicts early in the day when energy reserves are low, individuals will prefer the scrounger strategy. Late in the day, individuals will favor the producer strategy. Under rich and clumped food, scrounging will improve daily survival of all group members.","The proportion of individuals scrounging is predicted to change through the day, highest around dawn and dusk and lowest around midday because the scrounger obtains small amounts of food in a reliable way while the producer either acquires high or no food intake. Producing is optimal in midday if individuals are near or above their critical reserve level because if a producer is successful they are likely able to switch to resting sooner and avoid predation hazard."
