PT	AN	PM	DT	LT	TI	FT	AU	CA	BA	BE	SO	SE	PY	PD	VL	IS	PS	BP	EP	LA	ME	CT	CL	CY	SP	U1	U2	AB	C1	EM	RI	OI	PU	PA	SC	SN	EI	DI	BN	MC	CC	TA	DS	CH	GN	SD	GE	TM	MQ	PR	MI	OA	HC	HP	DA	UT
J	BACD199799449318		Article		Patch exploitation in a producer-scrounger system: Test of a hypothesis using flocks of spice finches (Lonchura punctulata)		Beauchamp, Guy; Giraldeau, Luc-Alain				Behavioral Ecology		1997		8	1	54-59	54	59	English						1	6	Group foraging allows individuals (scroungers) to obtain food discovered by others (producers). Producer-scrounger game models typically overlook the costs and benefits of patch exploitation, assuming instead that producers and scroungers abandon patches simultaneously once depletion occurs. Here we develop an extension of the marginal value theorem of patch exploitation that includes the producer-scrounger dynamics and examine the propensity of a producer to abandon its patch before depletion once scroungers arrive. We predict that early departures should occur more often when expected searching time decreases and when competition intensity in the patch increases. Competition intensity is expected to increase when more scroungers are present or when patches are smaller. We tested these predictions using a within-subject experimental design with six captive flocks of spice finches (Lonchura punctulata), each composed of one producer and three scroungers. As predicted, producers abandoned their food discoveries more frequently once scroungers arrived when searching time was short, when more scroungers were present, and when patches were small. The results show that the producers of a patch often leave as scroungers join their food discoveries because the payoffs from leaving exceed those from staying.	Dep. Biol., Concordia Univ., 1455 Ouest, Boulevard de Maisonneuve, Montreal, PQ H3G 1M8, Canada						Behavioral Sciences; Environmental Sciences & Ecology; Mathematical & Computational Biology; Nutrition & Dietetics	1045-2249		10.1093/beheco/8.1.54		Behavior; Ecology (Environmental Sciences); Mathematical Biology (Computational Biology); Models and Simulations (Computational Biology); Nutrition	04500, Mathematical biology and statistical methods; 07003, Behavioral biology - Animal behavior; 07508, Ecology: environmental biology - Animal; 10515, Biophysics - Biocybernetics; 13202, Nutrition - General studies, nutritional status and methods	Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Lonchura punctulata]									BEHAVIOR; GROUP FORAGING; MODELS AND SIMULATIONS; PATCH EXPLOITATION; PRODUCER-SCROUNGER SYSTEM; SPICE FINCH	Bronze			2023-03-15	BIOABS:BACD199799449318
J	BACD199699244678		Article		Group foraging revisited: Information sharing or producer-scrounger game?		Beauchamp, G.; Giraldeau, L.-A.				American Naturalist		1996		148	4	738-743	738	743	English						2	14		Giraldeau, L.-A.; Dep. Biol., Concordia Univ., 1455 Ouest, Blvd. Maisonneuve, Montreal, PQ H3G 1M8, Canada						Environmental Sciences & Ecology; Mathematical & Computational Biology; Nutrition & Dietetics	0003-0147		10.1086/285951		Ecology (Environmental Sciences); Mathematical Biology (Computational Biology); Models and Simulations (Computational Biology); Nutrition	04500, Mathematical biology and statistical methods; 07502, Ecology: environmental biology - General and methods; 10515, Biophysics - Biocybernetics; 13202, Nutrition - General studies, nutritional status and methods										ECOLOGY; FORAGING BEHAVIOR; GROUP FORAGING; INFORMATION SHARING; MATHEMATICAL MODELS; PRODUCER-SCROUNGER GAME				2023-03-15	BIOABS:BACD199699244678
J	BACD201700348415	28404775	Article		Stable producer-scrounger dynamics in wild birds: sociability and learning speed covary with scrounging behaviour		Aplin, L. M. (lucy.aplin@zoo.ox.ac.uk) ; Morand-Ferron, J.				Proceedings of the Royal Society Biological Sciences Series B		2017	APR 12 2017	284	1852	Article No.: 20162872	20162872		English						1	28	There has been extensive game-theoretic modelling of conditions leading to equilibria of producer-scrounger dichotomies in groups. However there is a surprising paucity of experimental evidence in wild populations. Here, we examine producer-scrounger games in five subpopulations of birds feeding at a socially learnt foraging task. Over four weeks, a bimodal distribution of producers and scroungers emerged in all areas, with pronounced and consistent individual tactic specialization persisting over 3 years. Tactics were unrelated to exploratory personality, but correlated with latency to contact and learn the foraging task, with the late arrivers and slower learners more likely to adopt the scrounging role. Additionally, the social environment was also important: at the broad scale, larger subpopulations with a higher social density contained proportionally more scroungers, while within subpopulations scroungers tended to be central in the social network and be observed in larger foraging flocks. This study thus provides a rare example of a stable, dimorphic distribution of producer-scrounger tactics in a wild population. It further gives support across multiple scales for a major prediction of social foraging theory; that the frequency of scroungers increases with group size.	Aplin, L. M.; Univ Oxford, Edward Grey Inst Field Ornithol, Oxford OX1 3PS, UK		Morand-Ferron, Julie/AAW-7022-2021	Morand-Ferron, Julie/0000-0001-5186-7710			Behavioral Sciences; Environmental Sciences & Ecology	0962-8452	1471-2954	10.1098/rspb.2016.2872		Behavior; Terrestrial Ecology (Ecology, Environmental Sciences)	07002, Behavioral biology - General and comparative behavior; 07003, Behavioral biology - Animal behavior; 07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal	Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Parus major; great tit]									group size; social network; sociability; social environment; learning speed; scrounging behavior; social density; exploratory personality	Green Published, hybrid			2023-03-15	BIOABS:BACD201700348415
J	BACD200000350573	11007643	Article		Experimental evidence that group foragers can converge on predicted producer-scrounger equilibria		Mottley, Kieron; Giraldeau, Luc-Alain				Animal Behaviour		2000	September, 2000	60	3	341-350	341	350	English	print					1	26	When foraging together, animals are often observed to feed from food discoveries of others. The producer-scrounger (PS) game predicts how frequently this phenomenon of food parasitism should occur. The game assumes: (1) at any moment all individuals can unambiguously be categorized as either playing producer (searching for undiscovered food resources) or scrounger (searching for exploitation opportunities), and (2) the payoffs received from the scrounger tactic are negatively frequency dependent; a scrounger does better than a producer when the scrounger tactic is rare, but worse when it is common. No study to date has shown that the payoffs of producer and scrounger conform to the game's assumptions or that groups of foragers reach the predicted stable equilibrium frequency (SEF) of scrounger, whereby both tactics obtain the same payoff. The current study of three captive flocks of spice finches, Lonchura punctulata, provides the first test of the PS game using an apparatus in which both assumptions of the PS game are met. The payoffs to the scrounger, measured as feeding rate (seeds/s), were highly negatively frequency dependent on the frequency of scrounger. The feeding rate for scrounger declined linearly while the rate for producer either declined only slightly or not at all with increasing scrounger frequency. When given the opportunity to alternate between tactics, the birds changed their use of each, such that the group converged on the predicted SEF of scrounger after 5-8 days of testing. Individuals in this study, therefore, demonstrated sufficient plasticity in tactic use such that the flock foraged at the SEF of scrounger.	Giraldeau, Luc-Alain; Departement des Sciences Biologiques, Universite du Quebec a Montreal, Succursale Centre-Ville, Montreal, PQ, Canada			Mottley, Kieron/0000-0001-5799-8842			Behavioral Sciences	0003-3472		10.1006/anbe.2000.1474		Behavior	07003, Behavioral biology - Animal behavior; 07002, Behavioral biology - General and comparative behavior	Animalia; Animals; Animalia [33000]; [animal]/Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Lonchura punctulata; spice finch]									feeding rate; food parasitism; frequency dependence; group foraging; plasticity; producer-scrounger equilibria; producer-scrounger game; stable equilibrium frequency	Green Submitted			2023-03-15	BIOABS:BACD200000350573
J	BACD200100210221		Article		Producer-scrounger games in a spatially explicit world: Tactic use influences flock geometry of spice finches		Flynn, Robyn E.; Giraldeau, Luc-Alain				Ethology		2001	March, 2001	107	3	249-257	249	257	English	print					0	4	Group-foraging animals can either search for their food (producer) or search for opportunities to join the food discoveries of others (scrounger). To maximize food returns, producers should distance themselves from potential competitors whereas scroungers should increase proximity to potential producers. We investigated the extent to which playing one or the other tactic affected an individual's location in captive flocks of ground-feeding spice finches (Lonchura punctulata) as they foraged for hidden clumps of food on an aviary floor. We constrained some individuals to use the producer tactic by pre-training them to find food hidden under lids. Constrained producers foraged significantly further from the center of flocks than constrained scroungers. Flocks with many scroungers were significantly more compact than flocks with fewer scroungers. The results are consistent with published simulations of spatially explicit producer-scrounger models and suggest that the use of producer and scrounger foraging tactics be included as a factor that affects an individual's position within foraging groups.	Giraldeau, Luc-Alain; Departement des Sciences Biologiques, Universite du Quebec a Montreal, Succursale Centre-Ville, Montreal, PQ, H3C 3P8, Canada	giraldeau.luc-alain@u-qam.ca					Behavioral Sciences	0179-1613		10.1046/j.1439-0310.2001.00657.x		Behavior	07002, Behavioral biology - General and comparative behavior; 07003, Behavioral biology - Animal behavior	Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Lonchura punctulata; spice finch]									flock geometry; food returns; producer tactic; producer-scrounger games; scrounger tactic; spacially explicit world; tactic use				2023-03-15	BIOABS:BACD200100210221
J	BACD200200082898	10322509	Article	Literature Review	Food exploitation: Searching for the optimal joining policy		Giraldeau, L.-A.; Beauchamp, G.				Trends in Ecology and Evolution		1999	March, 1999	14	3	102-106	102	106	English	print					1	65	Commonly invoked foraging advantages of group membership include increased mean food intake rates and/or reduced variance in foraging success. These foraging advantages rely on the occurrence of 'joining': feeding from food discovered or captured by others. Joining occurs in most social species but the assumptions underlying its analysis have been clarified only recently, giving rise to two classes of model: information-sharing and producer-scrounger models. Recent experimental evidence suggests that joining in ground-feeding birds might be best analysed as a producer-scrounger game, with some intriguing consequences for the spatial distribution of foragers and patch exploitation.	Giraldeau, L.-A.; Dept of Biology, Concordia University, 1455 Ouest Blvd de Maisonneuve, Montreal, Quebec, H3G 1M8, Canada						Behavioral Sciences	0169-5347		10.1016/S0169-5347(98)01542-0		Behavior	07002, Behavioral biology - General and comparative behavior; 07003, Behavioral biology - Animal behavior	Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Aves [85500]; [bird; (ground-feeder)]									food exploitation; foraging success; information-sharing joining model (conceptual model) ; optimal joining policy; patch exploitation; producer-scrounger joining model (conceptual model) ; social group membership; spatial distribution				2023-03-15	BIOABS:BACD200200082898
J	BACD200100147012		Article		Consistency and flexibility in the scrounging behaviour of zebra finches		Beauchamp, G.				Canadian Journal of Zoology		2001	March, 2001	79	3	540-544	540	544	English	print					1	21	When foraging in groups, individuals can use the "producer" tactic to locate food patches and the "scrounger" tactic to exploit the food discoveries of companions. Most producer-scrounger models assume that birds are flexible in using tactics in response to changing conditions and that foragers are phenotypically identical. Individual differences and flexibility in tactic use were investigated in zebra finches (Taenopygia guttata) foraging in two flocks of different composition. Birds varied widely in their use of tactics, and individual differences proved consistent both within and between flocks. Significant adjustments in tactic use occurred from one flock to the other. Results suggest that tactic use in zebra finches foraging in small flocks is characterized by consistency and flexibility. Individual differences in tactic use demonstrate the need to examine further the consequences of phenotypic variation in producer-scrounger models.	Beauchamp, G.; Faculty of Veterinary Medicine, Saint-Hyacinthe, PQ, J2S 7C6, Canada	beauchgu@medvet.umontreal.ca					Behavioral Sciences; Mathematical & Computational Biology	0008-4301		10.1139/cjz-79-3-540		Behavior; Models and Simulations (Computational Biology)	07002, Behavioral biology - General and comparative behavior; 04500, Mathematical biology and statistical methods; 07003, Behavioral biology - Animal behavior; 10515, Biophysics - Biocybernetics	Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Taenopygia guttata; zebra finch]									phenotypic variation; producer-scrounger model; scrounging behavior (consistency, flexibility)				2023-03-15	BIOABS:BACD200100147012
J	BACD200900427709		Article		Ecological, social, and reproductive factors shape producer-scrounger dynamics in baboons		King, Andrew J. (andrew.king@ioz.ac.uk) ; Isaac, Nick J. B.; Cowlishaw, Guy				Behavioral Ecology		2009	SEP-OCT 2009	20	5	1039-1049	1039	1049	English						2	54	Producer-scrounger models are used to explain the tactics of socially foraging animals where individuals can either search for their food (produce) or join the food discoveries of others (scrounge). However, the empirical testing of such models has generally been restricted to indoor aviary experiments. Here, we examine the social foraging tactics of naturally foraging wild chacma baboons (Papio ursinus). Thirty-six adult baboons from 2 groups were observed during full-day follows: Data from nearly 10 000 foraging events were analyzed using cross-classified, generalized linear mixed models. First, as predicted by producer-scrounger models, we show that baboons altered their foraging tactics in accordance with food patch size and spatial position in the group. Second, we show that the relative characteristics of cofeeding individuals were crucial: In particular, among females, individuals were more likely to scrounge from foraging neighbors who were subordinate and with whom they had a strong social affiliation. However, we found no effect of kinship. Finally, we found that female reproductive state influenced female foraging tactics (females scrounged more from male neighbors when pregnant and less when fertile), but the reproductive state of female neighbors had no such effects on male foraging tactics. These results suggest that, in addition to broad-scale ecological and group-level influences, a myriad of social and reproductive factors can shape producer-scrounger dynamics for wild animals living in complex social groups.	King, Andrew J.; Zool Soc London, Inst Zool, Regents Pk, London NW1 4RY, UK		Isaac, Nick/C-2716-2011	Isaac, Nick/0000-0002-4869-8052			Behavioral Sciences; Reproductive Biology; Environmental Sciences & Ecology	1045-2249	1465-7279	10.1093/beheco/arp095		Behavior; Reproduction; Ecology (Environmental Sciences)	07002, Behavioral biology - General and comparative behavior; 07003, Behavioral biology - Animal behavior; 07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal; 16504, Reproductive system - Physiology and biochemistry	Primates, Mammalia, Vertebrata, Chordata, Animalia; Animals, Chordates, Mammals, Nonhuman Mammals, Nonhuman Vertebrates, Nonhuman Primates, Primates, Vertebrates; Cercopithecidae [86205]; [Papio ursinus; chacma baboon; (adult)]									social foraging; reproductive factor; shape producer; scrounger dynamic; group-level influence	Green Published, Green Submitted			2023-03-15	BIOABS:BACD200900427709
J	BACD201000083435	19864281	Article		The effect of personality on social foraging: shy barnacle geese scrounge more		Kurvers, Ralf H. J. M. (ralf.kurvers@wur.nl) ; Prins, Herbert H. T.; van Wieren, Sipke E.; van Oers, Kees; Nolet, Bart A.; Ydenberg, Ronald C.				Proceedings of the Royal Society Biological Sciences Series B		2010	FEB 22 2010	277	1681	601-608	601	608	English						0	108	Animals foraging in groups can either search for food themselves (producing) or search for the food discoveries of other individuals (scrounging). Tactic use in producer-scrounger games is partly flexible but individuals tend to show consistency in tactic use under different conditions suggesting that personality might play a role in tactic use in producer-scrounger games. Here we studied the use of producing and scrounging tactics by bold and shy barnacle geese (Branta leucopsis), where boldness is a personality trait known to be repeatable over time in this species. We defined individuals as bold, shy or intermediate based on two novel object tests. We scored the frequency of finding food patches (the outcome of investing in producing) and joining patches (the outcome of investing in scrounging) by bold and shy individuals and their feeding time. Shy individuals had a higher frequency of joining than bold individuals, demonstrating for the first time that personality is associated with tactic use in a producer-scrounger game. Bold individuals tended to spend more time feeding than shy individuals. Our results highlight the importance of including individual behavioural variation in models of producer-scrounger games.	Kurvers, Ralf H. J. M.; Wageningen Univ, Resource Ecol Grp, Droevendaalsesteeg 3A, NL-6708 Wageningen, Netherlands		Nolet, Bart A/C-1416-2008; van Oers, Kees/B-2562-2009; Kurvers, Ralf/Q-8830-2017; Prins, Herbert/	Nolet, Bart A/0000-0002-7437-4879; van Oers, Kees/0000-0001-6984-906X; Kurvers, Ralf/0000-0002-3460-0392; Prins, Herbert/0000-0003-1131-5107			Genetics & Heredity	0962-8452	1471-2945	10.1098/rspb.2009.1474		Population Genetics (Population Studies)	03506, Genetics - Animal; 03509, Genetics - Population genetics; 64076, Invertebrata: comparative, experimental morphology, physiology and pathology - Insecta: physiology	Insecta, Arthropoda, Invertebrata, Animalia; Animals, Arthropods, Insects, Invertebrates; Hymenoptera [75326]; [Acromyrmex echinatior; leaf-cutting ant; (female, male)] [Acromyrmex octospinosus; leaf-cutting ant; (female, male)]								metapleural gland	heritability; genetic variation; environmental condition; genetic diversity; phenotypic plasticity; genetic mechanism; polyandrous species; colony-level selection; social insect caste; patriline variation; disease defence; caste-specific expression	Green Published			2023-03-15	BIOABS:BACD201000083435
J	BACD200800003479		Article		Producer-scrounger roles and joining based on dominance in a free-living group of Mexican jays (Aphelocoma ultramarina)		McCormack, John E. (jmccorm@ucla.edu) ; Jablonski, Piotr G.; Brown, Jerram L.				Behaviour		2007	AUG 2007	144	Part 8	967-982	967	982	English						0	26	While foraging, animals often exploit group members to obtain food. One way to describe this behaviour is with the producer-scrounger (PS) model, where scroungers use social interaction to obtain food discovered by producers. Mexican jays (Aphelocoma ultramarina) are a group-foraging species with a linear dominance hierarchy. We studied interactions in a free-living foraging group to determine (1) if foraging interactions can be explained with the PS model, (2) if these roles are consistent and (3) if dominance or relatedness affects joining frequency. We recorded board-flipping, eating, and joining events during sets of feeding trials. We show that Mexican jays use PS roles and that these roles were consistent through many trials, but might have changed between trial sets. Relatedness and frequency of joining were not correlated. Dominance influenced joining in that joining was more likely to occur between birds with a larger difference in their dominance rank. In contrast to other studies, our results suggest that this effect is mediated through joiner preference. Scroungers preferentially joined birds of lower dominance rank and high search activity. Producers with these qualities had fewer eating events with full access to seeds, suggesting that scrounging exacts a cost on producers.	McCormack, John E.; Univ Calif Los Angeles, Dept Ecol and Evolut Biol, 621 Charles E Young Dr S, Los Angeles, CA 90095 USA		Jablonski, Piotr/K-4231-2012; Jablonski, Piotr G/A-2753-2015; McCormack, John/A-6380-2010; /	McCormack, John/0000-0002-0912-1461; /0000-0002-8333-0106			Behavioral Sciences	0005-7959	1568-539X	10.1163/156853907781492717		Behavior	07002, Behavioral biology - General and comparative behavior; 07003, Behavioral biology - Animal behavior	Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Aphelocoma ultramarina; Mexican jay]									dominance rank; group foraging; producer-scrounger role; joining event				2023-03-15	BIOABS:BACD200800003479
