Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Barnard, C.J., Sibly, R.M.","26643057700;7006400848;","Producers and scroungers: A general model and its application to captive flocks of house sparrows",1981,"Animal Behaviour","29","2",,"543","550",,588,"10.1016/S0003-3472(81)80117-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000121089&doi=10.1016%2fS0003-3472%2881%2980117-0&partnerID=40&md5=6947d34e60556c5f12a22c99125f11ce",Article,"Final","",Scopus,2-s2.0-0000121089
"Giraldeau, L.-A., Lefebvre, L.","7004167906;34571062100;","Exchangeable producer and scrounger roles in a captive flock of feral pigeons: a case for the skill pool effect",1986,"Animal Behaviour","34","3",,"797","803",,119,"10.1016/S0003-3472(86)80064-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001447697&doi=10.1016%2fS0003-3472%2886%2980064-1&partnerID=40&md5=e6859970dabc3a41d29bac07dfdc8de0",Article,"Final","",Scopus,2-s2.0-0001447697
"Giraldeau, L.-A., Lefebvre, L.","7004167906;34571062100;","Scrounging prevents cultural transmission of food-finding behaviour in pigeons",1987,"Animal Behaviour","35","2",,"387","394",,150,"10.1016/S0003-3472(87)80262-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-58149371844&doi=10.1016%2fS0003-3472%2887%2980262-2&partnerID=40&md5=7d0c82cddbcac3f2405b14d9a6d0c870",Article,"Final","",Scopus,2-s2.0-58149371844
"Giraldeau, L.‐A., Hogan, J.A., Clinchy, M.J.","57205911938;7202270539;6602888886;","The Payoffs to Producing and Scrounging: What Happens when Patches are Divisible?",1990,"Ethology","85","2",,"132","146",,81,"10.1111/j.1439-0310.1990.tb00393.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990803708&doi=10.1111%2fj.1439-0310.1990.tb00393.x&partnerID=40&md5=06d0d6c36c43dbac7b4e2dc10a180de2",Article,"Final","",Scopus,2-s2.0-84990803708
"Toft, S.","7004109831;","Interactions among two coexisting Linyphia spiders",1990,"Acta Zoologica Fennica","190",,,"367","372",,8,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025627964&partnerID=40&md5=f7fdd8796c63a1cc5edd77a5c5621a92",Article,"Final","",Scopus,2-s2.0-0025627964
"Barnard, C.J.","26643057700;","Parasitic relationships",1990,"Parasitism and host behaviour",,,,"1","33",,30,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025543352&partnerID=40&md5=cbf340a24623528171c51d1757304269",Article,"Final","",Scopus,2-s2.0-0025543352
"Ens, B.J., Esselink, P., Zwarts, L.","7006510898;6602177765;7004915115;","Kleptoparasitism as a problem of prey choice: a study on mudflat-feeding curlews, Numenius arquata",1990,"Animal Behaviour","39","2",,"219","230",,54,"10.1016/S0003-3472(05)80866-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025255734&doi=10.1016%2fS0003-3472%2805%2980866-8&partnerID=40&md5=3b6b1c3c645288f764749c88d4548ff1",Article,"Final","",Scopus,2-s2.0-0025255734
"Vickery, W.L., Giraldeau, L.-A., Templeton, J.J., Kramer, D.L., Chapman, C.A.","6701724473;7004167906;57206443144;57203046501;7403167435;","Producers, scroungers, and group foraging",1991,"American Naturalist","137","6",,"847","863",,255,"10.1086/285197","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026277073&doi=10.1086%2f285197&partnerID=40&md5=272fea7542d1bdf3cea81aed34334c55",Article,"Final","",Scopus,2-s2.0-0026277073
"Caraco, T., Giraldea, L.-A.","57203631993;25932813900;","Social foraging: Producing and scrounging in a stochastic environment",1991,"Journal of Theoretical Biology","153","4",,"559","583",,99,"10.1016/S0022-5193(05)80156-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026360133&doi=10.1016%2fS0022-5193%2805%2980156-0&partnerID=40&md5=6ecc96cd2f4058ef760c603cbc29bc93",Article,"Final","",Scopus,2-s2.0-0026360133
"Giraldeau, L.-A., Soos, C., Beauchamp, G.","7004167906;36244609600;7102529617;","A test of the producer-scrounger foraging game in captive flocks of spice finches, Loncbura punctulata",1994,"Behavioral Ecology and Sociobiology","34","4",,"251","256",,75,"10.1007/BF00183475","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028179439&doi=10.1007%2fBF00183475&partnerID=40&md5=f2eb3d669a4794e1db2f564434639084",Article,"Final","",Scopus,2-s2.0-0028179439
"Beauchamp, G., Glraldeau, L.-A.","7102529617;12040197500;","Group foraging revisited: information sharing or producer-scrounger game?",1996,"American Naturalist","148","4",,"738","743",,31,"10.1086/285951","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030419121&doi=10.1086%2f285951&partnerID=40&md5=57da0c241bb68f3a1d812722d665d72c",Review,"Final","",Scopus,2-s2.0-0030419121
"Koops, M.A., Giraldeau, L.-A.","6603895391;7004167906;","Producer-scrounger foraging games in starlings: A test of rate-maximizing and risk-sensitive models",1996,"Animal Behaviour","51","4",,"773","783",,56,"10.1006/anbe.1996.0082","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029730116&doi=10.1006%2fanbe.1996.0082&partnerID=40&md5=ca6dea498bb1465778b2b350479e1562",Article,"Final","",Scopus,2-s2.0-0029730116
"Ranta, E., Peuhkuri, N., Laurila, A., Rita, H., Metcalfe, N.B.","7006950262;6603791879;7005729258;55179768500;7006572484;","Producers, scroungers and foraging group structure",1996,"Animal Behaviour","51","1",,"171","175",,44,"10.1006/anbe.1996.0014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029669266&doi=10.1006%2fanbe.1996.0014&partnerID=40&md5=4f78557c52c75e25d701a67d9b5ff43c",Article,"Final","",Scopus,2-s2.0-0029669266
"Rita, H., Ranta, E., Peuhkuri, N.","55179768500;7006950262;6603791879;","Group foraging, patch exploitation time and the finder's advantage",1997,"Behavioral Ecology and Sociobiology","40","1",,"35","39",,20,"10.1007/s002650050313","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031055642&doi=10.1007%2fs002650050313&partnerID=40&md5=a93f5fafa13fa214daa095c29566b29b",Article,"Final","",Scopus,2-s2.0-0031055642
"Beauchamp, G., Bélisle, M., Giraldeau, L.-A.","7102529617;6602759218;7004167906;","Influence of conspecific attraction on the spatial distribution of learning foragers in a patchy habitat",1997,"Journal of Animal Ecology","66","5",,"671","682",,112,"10.2307/5920","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030866610&doi=10.2307%2f5920&partnerID=40&md5=eaa5d33a52668dcc62aacb27e5ad8129",Article,"Final","",Scopus,2-s2.0-0030866610
