comments,risk,conditions,habitat,simulation,empirical,ps_model,other_model,review,link,DL,PY,AU,SO...14,SO...15,DOI
,,,,,house sparrows,y,,,sci-hub.st/http://dx.doi.org/10.1016/S0003-3472(81)80117-0,http://dx.doi.org/10.1016/S0003-3472(81)80117-0,1981,"Barnard, CJ; Sibly, RM",Animal Behaviour,Producers And Scroungers - A General-Model And Its Application To Captive Flocks Of House Sparrows,10.1016/S0003-3472(81)80117-0
,,,,,pigeons,,,,sci-hub.st/http://dx.doi.org/10.1016/S0003-3472(86)80064-1,http://dx.doi.org/10.1016/S0003-3472(86)80064-1,1986,"Giraldeau LA; Lefebvre, L",Animal Behaviour,Exchangeable Producer And Scrounger Roles In A Captive Flock Of Feral Pigeons - A Case For The Skill Pool Effect,10.1016/S0003-3472(86)80064-1
,,,,,pigeons,,,,https://sci-hub.st/10.1016/S0003-3472(87)80262-2,,1987,"Giraldeau LA; Lefebvre, L",Animal Behaviour,Scrounging Prevents Cultural Transmission Of Food-Finding Behavior In Pigeons,10.1016/S0003-3472(87)80262-2
,,,,,curlews,,,,https://sci-hub.st/10.1016/S0003-3472(05)80866-8,,1990,Ens B J; Esselink P; Zwarts L,Animal Behaviour,Kleptoparasitism As A Problem Of Prey Choice A Study On Mudflat-Feeding Curlews Numenius-Arquata,10.1016/S0003-3472(05)80866-8
finder's share,,,,,"spice finches, zebra finches",,,,https://sci-hub.st/10.1111/j.1439-0310.1990.tb00393.x,,1990,"Giraldeau, L.‐A., Hogan, J.A., Clinchy, M.J.",Ethology,The Payoffs To Producing And Scrounging: What Happens When Patches Are Divisible?,10.1111/j.1439-0310.1990.tb00393.x
,,,,,,y,,,sci-hub.st/http://dx.doi.org/10.1086/285197,http://dx.doi.org/10.1086/285197,1991,"Vickery, WL; Giraldea, LA; Templeton, JJ; Kramer, DL; Chapman, CA",American Naturalist,"Producers, Scroungers, And Group Foraging",10.1086/285197
stochastic models,,,,,,y,,,https://sci-hub.st/10.1016/S0022-5193(05)80156-0,,1991,Caraco T; Giraldeau L-A,Journal Of Theoretical Biology,Social Foraging Producing And Scrounging In A Stochastic Environment,10.1016/S0022-5193(05)80156-0
,,,,,,,information sharing,,sci-hub.st/http://dx.doi.org/10.1086/285528,http://dx.doi.org/10.1086/285528,1993,"Ranta, E; Riita, H; Lindstrom, K",American Naturalist,Competition Versus Cooperation - Success Of Individuals Foraging Alone And In Groups,10.1086/285528
,,,,,,,information sharing,,sci-hub.st/http://dx.doi.org/10.1006/anbe.1993.1290,http://dx.doi.org/10.1006/anbe.1993.1290,1993,"Ranta, E",Animal Behaviour,There Is No Optimal Foraging Group-Size,10.1006/anbe.1993.1290
,,,,,spice finches,,,,https://sci-hub.st/10.1007/BF00183475,,1994,"Giraldeau, L.-A., Soos, C., Beauchamp, G.",Behavioral Ecology And Sociobiology,"A Test Of The Producer-Scrounger Foraging Game In Captive Flocks Of Spice Finches, Loncbura Punctulata",10.1007/BF00183475
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1126/science.7652573,http://dx.doi.org/10.1126/science.7652573,1995,"Heinsohn, R; Packer, C",Science,Complex Cooperative Strategies In Group-Territorial African Lions,10.1126/science.7652573
,,,,y,,,,,https://www.journals.uchicago.edu/doi/pdf/10.1086/285951?casa_token=EM4s2Owy7KoAAAAA:ItsFyoqxVewexSvGJMzyD-j5AOqQv2BRF4OveL52mlliV7Dwk3a3hDd0eIW6iYar8mECLNceZJSqQQ,http://dx.doi.org/10.1086/285951,1996,"Beauchamp, G; Giraldeau, LA",American Naturalist,Group Foraging Revisited: Information Sharing Or Producer-Scrounger Game?,10.1086/285951
,,,,,,y,,,sci-hub.st/http://dx.doi.org/10.1006/anbe.1996.0014,http://dx.doi.org/10.1006/anbe.1996.0014,1996,"Ranta, E; Peuhkuri, N; Laurila, A; Rita, H; Metcalfe, NB",Animal Behaviour,"Producers, Scroungers And Foraging Group Structure",10.1006/anbe.1996.0014
food density,,,,,starlings,,,,sci-hub.st/http://dx.doi.org/10.1006/anbe.1996.0082,http://dx.doi.org/10.1006/anbe.1996.0082,1996,"Koops, MA; Giraldeau, LA",Animal Behaviour,Producer-Scrounger Foraging Games In Starlings: A Test Of Rate-Maximizing And Risk-Sensitive Models,10.1006/anbe.1996.0082
,,,,,spice finches,,,,sci-hub.st/http://dx.doi.org/10.1093/beheco/8.1.54,http://dx.doi.org/10.1093/beheco/8.1.54,1997,"Beauchamp, G; Giraldeau, LA",Behavioral Ecology,Patch Exploitation In A Producer-Scrounger System: Test Of A Hypothesis Using Flocks Of Spice Finches (Lonchura Punctulata),10.1093/beheco/8.1.54
,,,,,,y,,,sci-hub.st/http://dx.doi.org/10.1007/s002650050313,http://dx.doi.org/10.1007/s002650050313,1997,"Rita, H; Ranta, E; Peuhkuri, N",Behavioral Ecology And Sociobiology,"Group Foraging, Patch Exploitation Time And The Finder'S Advantage",10.1007/s002650050313
,,,,,,n,,,sci-hub.st/http://dx.doi.org/10.1016/S0376-6357(97)00022-3,http://dx.doi.org/10.1016/S0376-6357(97)00022-3,1997,"Hatch, KK; Lefebvre, L",Behavioural Processes,Does Father Know Best? Social Learning From Kin And Non-Kin In Juvenile Ringdoves,10.1016/S0376-6357(97)00022-3
,,,,,pigeons,,,,sci-hub.st/http://dx.doi.org/10.1016/S0376-6357(97)00783-3,http://dx.doi.org/10.1016/S0376-6357(97)00783-3,1997,"Lefebvre, L; Helder, R",Behavioural Processes,Scrounger Numbers And The Inhibition Of Social Learning In Pigeons,10.1016/S0376-6357(97)00783-3
"learning, depletion",,,,,,y,,,sci-hub.st/http://dx.doi.org/10.2307/5920,http://dx.doi.org/10.2307/5920,1997,"Beauchamp, G; Belisle, M; Giraldeau, LA",Journal Of Animal Ecology,Influence Of Conspecific Attraction On The Spatial Distribution Of Learning Foragers In A Patchy Habitat,10.2307/5920
,,,,y,,,,,sci-hub.st/http://dx.doi.org/10.1098/rspb.1997.0170,http://dx.doi.org/10.1098/rspb.1997.0170,1997,"Barta, Z; Flynn, R; Giraldeau, LA",Proceedings Of The Royal Society B-Biological Sciences,Geometry For A Selfish Foraging Group: A Genetic Algorithm Approach,10.1098/rspb.1997.0170
RISK,y,,,,,y,,,sci-hub.st/http://dx.doi.org/10.1006/anbe.1997.0649,http://dx.doi.org/10.1006/anbe.1997.0649,1998,"Ranta, E; Peuhkuri, N; Hirvonen, H; Barnard, CJ",Animal Behaviour,"Producers, Scroungers And The Price Of A Free Meal",10.1006/anbe.1997.0649
,,,,,,y,,,sci-hub.st/http://dx.doi.org/10.1007/s002650050433,http://dx.doi.org/10.1007/s002650050433,1998,"Barta, Z; Giraldeau, LA",Behavioral Ecology And Sociobiology,The Effect Of Dominance Hierarchy On The Use Of Alternative Foraging Tactics: A Phenotype-Limited Producing-Scrounging Game,10.1007/s002650050433
COMPARISONS,,,,,,y,,y,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/0012-9658%281998%29079%5B1922%3AFGSMAA%5D2.0.CO%3B2?casa_token=BeqKkdSfUhsAAAAA:qlAIbL01xjtQT_dyYC9bOtn9zMXnDh1e9zibaxydbgAZ_RD5PgHbrwlM8uBfvJAstYjwEEXnu0-0KSlIOQ,http://dx.doi.org/10.1890/0012-9658(1998)079[1922:FGSMAA]2.0.CO;2,1998,"Belisle, M",Ecology,Foraging Group Size: Models And A Test With Jaegers Kleptoparasitizing Terns,10.1890/0012-9658(1998)079[1922:FGSMAA]2.0.CO;2
,,,,,,y,,,sci-hub.st/http://dx.doi.org/10.2307/3546372,http://dx.doi.org/10.2307/3546372,1998,"Rita, H; Ranta, E",Oikos,"Group Foraging, Gain And The Finder'S Advantage",10.2307/3546372
