Link,Year,Author,Journal,Title,Species,Scientific name,Strategies,Frequency dependence,Payoffs,Penalties,Resources,Availability,Risks,Conditions,Access,Focus,Outcome
,1981,"Barnard, CJ; Sibly, RM",Animal Behaviour,Producers And Scroungers - A General-Model And Its Application To Captive Flocks Of House Sparrows,house sparrows,Passer domesticus,,,,,,,,,,,
,1986,"Giraldeau LA; Lefebvre, L",Animal Behaviour,Exchangeable Producer And Scrounger Roles In A Captive Flock Of Feral Pigeons - A Case For The Skill Pool Effect,pigeons,,,,,,,,,,,,
,1987,"Giraldeau LA; Lefebvre, L",Animal Behaviour,Scrounging Prevents Cultural Transmission Of Food-Finding Behavior In Pigeons,pigeons,,,,,,,,,,,,
,1990,Ens B J; Esselink P; Zwarts L,Animal Behaviour,Kleptoparasitism As A Problem Of Prey Choice A Study On Mudflat-Feeding Curlews Numenius-Arquata,curlews,,,,,,,,,,,,
,1990,"Giraldeau, L.‐A., Hogan, J.A., Clinchy, M.J.",Ethology,The Payoffs To Producing And Scrounging: What Happens When Patches Are Divisible?,"spice finches, zebra finches",Taeniopygia guttata,"Producing, scrounging. Dominance does not influence the tendence to scrounge or produce",,,,,,,,"Dominance does not influence the relative advantage of producers over scroungers for spice finches but, for zebra finches, dominant individuals ate more",,"Dominance does not influence the relative advantage of producers over scroungers for spice finches but, for zebra finches, dominant individuals ate more"
,1994,"Giraldeau, L.-A., Soos, C., Beauchamp, G.",Behavioral Ecology And Sociobiology,"A Test Of The Producer-Scrounger Foraging Game In Captive Flocks Of Spice Finches, Loncbura Punctulata",spice finches,,,,,,,,,,,,
,1996,"Koops, MA; Giraldeau, LA",Animal Behaviour,Producer-Scrounger Foraging Games In Starlings: A Test Of Rate-Maximizing And Risk-Sensitive Models,starlings,,,,,,,,,,,,
,1997,"Beauchamp, G; Giraldeau, LA",Behavioral Ecology,Patch Exploitation In A Producer-Scrounger System: Test Of A Hypothesis Using Flocks Of Spice Finches (Lonchura Punctulata),spice finches,,,,,,,,,,,,
,1997,"Lefebvre, L; Helder, R",Behavioural Processes,Scrounger Numbers And The Inhibition Of Social Learning In Pigeons,pigeons,,,,,,,,,,,,
http://dx.doi.org/10.1890/0012-9658(1998)079[1922:FGSMAA]2.0.CO;2,1998,"Belisle, M",Ecology,Foraging Group Size: Models And A Test With Jaegers Kleptoparasitizing Terns,jaegers,,,,,,,,,,,,
,2000,"Mottley, K; Giraldeau, LA",Animal Behaviour,Experimental Evidence That Group Foragers Can Converge On Predicted Producer-Scrounger Equilibria,spice finches,,,,,,,,,,,,
,2000,"Beauchamp, G",Behavioural Processes,"The Effect Of Prior Residence And Pair Bond On Scrounging Choices In Flocks Of Zebra Finches, Taenopygia Guttata",zebra finches,Taeniopygia guttata,,,,,,,,,,,
,2001,"Coolen, I; Giraldeau, LA; Lavoie, M",Animal Behaviour,Head Position As An Indicator Of Producer And Scrounger Tactics In A Ground-Feeding Bird,spice finches,,,,,,,,,,,,
,2001,"Di Bitetti, MS; Janson, CH",Animal Behaviour,"Social Foraging And The Finder'S Share In Capuchin Monkeys, Cebus Apella",capuchin monkeys,,,,,,,,,,,,
,2001,"Robinette, R.L., Ha, J.C.",Animal Behaviour,"Social And Ecological Factors Influencing Vigilance By Northwestern Crows, Corvus Caurinus",northwestern crows,,,,,,,,,,,,
,2001,"Beauchamp, G",Canadian Journal Of Zoology-Revue Canadienne De Zoologie,Consistency And Flexibility In The Scrounging Behaviour Of Zebra Finches,zebra finches,Taeniopygia guttata,,,,,,,,,,,
,2001,"Flynn, RE; Giraldeau, LA",Ethology,Producer-Scrounger Games In A Spatially Explicit World: Tactic Use Influences Flock Geometry Of Spice Finches,spice finches,,,,,,,,,,,,
,2002,"Pfeffer, K; Fritz, J; Kotrschal, K",Animal Behaviour,"Hormonal Correlates Of Being An Innovative Greylag Goose, - Anser Anser",guppies,,,,,,,,,,,,
,2002,"Held, S; Mendl, M; Devereux, C; Byrne, RW",Animal Behaviour,Foraging Pigs Alter Their Behaviour In Response To Exploitation,domestic pigs,,,,,,,,,,,,
,2002,"Werdenich, D; Huber, L",Animal Behaviour,Social Factors Determine Cooperation In Marmosets,marmosets,,,,,,,,,,,,
,2002,"Coolen, I",Behavioral Ecology And Sociobiology,Increasing Foraging Group Size Increases Scrounger Use And Reduces Searching Efficiency In Nutmeg Mannikins (Lonchura Punctulata),nutmeg mannikins,,,,,,,,,,,,
,2002,"Liker, A; Barta, Z",Behaviour,The Effects Of Dominance On Social Foraging Tactic Use In House Sparrows,house sparrows,Passer domesticus,,,,,,,,,,,
,2002,"Bugnyar, T; Kotrschal, K",Ethology,"Scrounging Tactics In Free-Ranging Ravens, Corvus Corax",ravens,,,,,,,,,,,,
,2003,"Ha, RR; Ha, JC",Animal Behaviour,"Effects Of Ecology And Prey Characteristics On The Use Of Alternative Social Foraging Tactics In Crows, Corvus Caurinus",northwestern crows,,,,,,,,,,,,
